title,author,price,pub,pub_date
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213221976"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213221976&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_alias"" id=""kwch_S000213221976"">생각한 대로 말할 수 없어 답답했던</span>
<span id=""cmdtName_S000213221976"">개발자를 위한 생각의 정리, 문서 작성법</span>
</a>",카이마이 미즈히로,18000,프리렉,2024년 05월 17일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000007755190"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000007755190&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000007755190"">개발자를 위한 필수 수학</span>
</a>",토머스 닐드,0,한빛미디어,2024년 06월 03일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212738756"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212738756&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_alias"" id=""kwch_S000212738756"">연봉 앞자리를 바꾸는</span>
<span id=""cmdtName_S000212738756"">개발자 기술 면접 노트</span>
</a>",이남희,19800,한빛미디어,2024년 03월 25일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212759049"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212759049&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000212759049"">인공지능 구조 원리 교과서</span>
</a>",송경빈,17820,보누스,2024년 03월 25일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000001766482"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000001766482&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000001766482"">Real MySQL 8.0 (1권)</span>
</a>",백은빈,27000,위키북스,2021년 09월 08일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213766983"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213766983&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000213766983"">Do it! IT 서비스 이해를 위한 네트워크 기초</span>
</a>",심준보,19800,이지스퍼블리싱,2024년 07월 08일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212798297"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212798297&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000212798297"">스프링 부트 3 백엔드 개발자 되기: 자바 편</span>
</a>",신선영,28800,골든래빗(주),2024년 04월 05일
기본기가 탄탄한 자바 개발자,벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 기본 및 활용 편,이경오,0,한빛미디어,2021년 10월 29일
얄코의 TOO MUCH 친절한 깃&깃허브(무료특별판),고현민,0,리코멘드,2023년 08월 10일
[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 시험 직전 비밀노트 편,이경오,0,한빛미디어,2021년 10월 29일
2024 SD에듀 유선배 SQL개발자(SQLD) 과외노트,정미나,21600,시대고시기획,2024년 02월 05일
개발자를 위한 필수 수학,토머스 닐드,27000,한빛미디어,2024년 06월 03일
친절한 SQL 튜닝,조시형,34200,디비안(주)(DBian),2018년 06월 01일
면접을 위한 CS 전공지식 노트,주홍철,21600,길벗,2022년 04월 28일
퇴사한 게임 개발자가 너무 유능함,강선우,대여/소장 가능,KW북스,2024년 01월 11일
2024 이기적 SQL 개발자 이론서+기출문제,임호진,21600,영진닷컴,2024년 01월 26일
